Sample,CRCR,GAGA,HYHY,CDRPOA,CDYAGL,CDYSTA,CDYTHA,CDYTHL,CELDUL,CELDUA,CELHEL,CELHEA,CELMIA,CELMIL,CELNAA,CELNEA,CELNEL,CGYGYL,CHAPEA,CHAPEL,CHYBEL,CHYHYL,CHYTRA,CHYTRL,CHYPAL,CLULUA,CLULUL,CPSPSL,DECDAD,DCEATL,DCECEL,DCESPP,DCHIRL,DCHIRP,DCUANL,DCUCUL,DCUCSL,DCUURL,DCUSPP,DDIDIL,DDISPP,DEMHEL,DEMMEL,DEMSPP,DEPSEL,DPSMAL,DPSSPP,DSISPL,DSISPP,DSTMYL,DSTSPP,DTAHYL,DTISPP,EBAACL,EBAAPL,EBAABL,EBABAL,EBABTL,EBACAL,EBACBL,EBACEL,EBACLL,EBAFAL,EBAPAL,ECACAL,EEPEPL,EEPSEL,EHEEOL,EHELEL,EHERHL,EISISL,ELEASL,ELELEL,ELETRL,ELEPAL,ELETHL,ELETVL,GCYCOR,GLYMSP,GPHYSP,GPLFER,HBEABA,HCOGRX,HCOPAX,HCOTRC,HGEAQU,HGEGER,HGEMET,HGETRE,HHYHYD,HMAMAC,HMEMES,HNAAMB,HNERAN,HNOBUE,HNONOT,HVEMIC,HVERHA,LCRELL,LCRPEL,MCOCOL,OAEANX,OCAHET,OCOARG,OCOCEN,OCOISC,OGOERP,OGOPRO,OLEARC,OLIBRC,OLIPAL,PCAMES,PPEISO,TBREOL,TCAPHL,TGLPCL,TGLSPP,THEHEL,THYCHL,THYHYL,THYSML,THYPUP,THYDTL,THYHYLP,THYLEL,THYMNL,THYMEL,THYOCL,THYOXL,THYSPP,TLENCL,TLEOEL,TLESPP,TLILIL,TODMAL,TPHCHL,TPOPOL,TPOPYL
F17_SBN3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,159,9,0,70,1,5,111,0,0,0,0,0,0,0,0,17,47,3,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,1,4,6,0,0,0,0,0,0
F17_SBN5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,23,0,0,183,4,0,89,0,10,231,0,0,0,0,0,0,0,0,5,112,9,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0
S18_BFR1,0,0,320,0,0,0,0,0,0,20,0,0,50,120,0,20,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,140,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,110,0,0,0,0,0,50,1000,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,1,10,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,30,290,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
S18_BFR2,0,132,0,0,0,0,0,0,0,0,6,12,60,78,0,12,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,318,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,54,90,0,18,0,12,54,600,702,0,0,0,374,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,12,0,0,6,0,0,6,0,6,6,30,270,0,12,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0
S18_BFR3,0,0,240,0,0,0,0,0,0,0,0,0,45,120,0,15,75,0,0,0,0,0,0,0,0,0,0,0,15,0,30,0,375,15,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,15,61,0,0,0,0,33,150,915,2490,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,15,0,0,0,0,0,22,0,0,0,0,0,0,0,30,0,15,240,0,75,0,0,75,0,30,0,0,15,15,0,0,0,0,0,0
S18_BFP1,0,0,1650,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,30,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,90,570,0,0,0,0,0,1380,1,0,30,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18_BFP2,0,55,680,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,535,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,775,0,0,0,5,0,265,0,5,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
S18_BFP4,0,370,590,0,0,0,0,0,20,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,20,0,220,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1860,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,10,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
S18_BFN1,0,300,0,0,0,0,0,0,0,22.5,0,0,30,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,52.5,645,766,0,0,0,232.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,16,0,0,0,0,0,3,0,0,30,0,0,0,0,0,0,22.5,22.5,0,0,0,0,0,15,0,0,7.5,37.5,15,0,0,0,0,0,0
S18_BFN4,0,221,1,0,0,0,0,0,1,2,1,2,38,71,1,20,8,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,109,6,0,0,0,0,0,0,0,8,0,1,0,0,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,29,15,0,12,0,2,120,650,340,0,0,0,134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,2,0,1,8,0,0,8,0,0,11,0,0,11,0,0,3,0,4,1,6,86,0,6,1,0,0,2,0,0,0,4,9,0,0,0,0,0,1
